run_id,team_count,round_count,market_scenario,team_name,archetype,strategy_key,strategy_label,profit_rank,balanced_rank,balanced_score,profit,revenue,total_cost,sales_units,fill_rate,forecast_wape,ending_cash_balance,short_term_debt_balance,cash_minus_debt,liquidity_stress_flag,reputation_after_round,lost_sales_units,backlog_units_end,ending_inventory
46,5,4,batch_046,Team 05,Community / Club,cash_conservative,Cash conservative,3,3,40.0,6539.27,22996.92,16457.65,179,0.5932,0.3063,44195.71,0.0,44195.71,False,6.35,109,12,0
46,5,4,batch_046,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,4,5,17.0,4648.13,34694.94,30046.81,247,0.7781,0.4795,26827.21,28000.0,-1172.7900000000009,True,26.06,35,34,133
46,5,4,batch_046,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,5,4,17.0,-4064.23,43607.52,47671.75,350,0.9351,0.4246,0.0,25629.25,-25629.25,True,0.0,0,23,18
47,4,4,batch_047,Team 01,Premium Quality,premium_quality,Premium quality,1,1,60.0,8450.41,34192.8,25742.39,182,0.3295,0.6657,61857.63,0.0,61857.63,False,0.0,355,14,0
47,4,4,batch_047,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,2,2,53.3,6825.01,32617.0,25791.99,198,0.3428,0.6387,48681.96,4000.0,44681.96,False,0.0,355,24,0
47,4,4,batch_047,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,3,3,38.7,4154.04,33652.5,29498.46,320,0.3985,0.5611,51335.93,28000.0,23335.93,True,0.0,453,29,0
47,4,4,batch_047,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,4,4,32.0,-3257.55,45209.12,48466.67,367,0.4147,0.4825,242.45,26125.03,-25882.579999999998,True,0.0,433,83,0
48,7,4,batch_048,Team 01,Premium Quality,premium_quality,Premium quality,1,1,66.7,9785.28,34192.8,24407.52,182,0.5938,0.3846,67188.68,0.0,67188.68,False,42.81,110,14,0
48,7,4,batch_048,Team 07,Sponsorship Growth,premium_quality,Premium quality,2,2,63.3,8640.7,42759.36,34118.66,283,0.6097,0.3585,66226.25,0.0,66226.25,False,35.17,157,23,0
48,7,4,batch_048,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,3,3,55.3,8213.43,36065.5,27852.07,307,0.7123,0.2932,52685.85,28000.0,24685.85,True,18.59,88,34,0
48,7,4,batch_048,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,4,4,53.3,8190.07,32617.0,24426.93,198,0.6181,0.3251,53758.9,4000.0,49758.9,False,26.32,97,24,0
48,7,4,batch_048,Team 05,Community / Club,cash_conservative,Cash conservative,5,7,23.3,7417.19,22996.92,15579.73,179,0.4277,0.5056,47392.8,0.0,47392.8,False,0.0,226,12,0
48,7,4,batch_048,Team 06,Premium Quality,aggressive_growth,Aggressive growth,6,5,35.3,2620.81,39093.12,36472.31,234,0.6799,0.0941,58046.05,40000.0,18046.050000000003,True,34.61,59,50,0
48,7,4,batch_048,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,7,6,28.7,-499.17,45209.12,45708.29,367,0.7562,0.0981,3000.83,20924.27,-17923.440000000002,True,0.0,34,83,0
49,4,4,batch_049,Team 01,Premium Quality,premium_quality,Premium quality,1,1,60.0,9009.77,34192.8,25183.03,182,0.2903,0.7063,64093.13,0.0,64093.13,False,0.0,430,14,0
49,4,4,batch_049,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,2,2,53.3,7185.23,32617.0,25431.77,198,0.2987,0.687,62741.82,4000.0,58741.82,False,0.0,440,24,0
49,4,4,batch_049,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,3,4,38.7,5108.3,33848.85,28740.55,322,0.3627,0.6043,55456.14,28000.0,27456.14,True,0.0,535,29,0
49,4,4,batch_049,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,4,3,40.0,-1674.65,45494.24,47168.89,369,0.3776,0.536,14847.43,14000.0,847.4300000000003,False,0.0,524,83,0
50,4,4,batch_050,Team 01,Premium Quality,premium_quality,Premium quality,1,1,60.0,9175.37,34192.8,25017.43,182,0.4241,0.5665,64752.72,0.0,64752.72,False,3.3,232,14,0
50,4,4,batch_050,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,2,2,53.3,7566.99,32617.0,25050.01,198,0.4411,0.5293,51639.19,4000.0,47639.19,False,0.0,226,24,0
50,4,4,batch_050,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,3,3,38.7,5041.15,33652.5,28611.35,320,0.5205,0.4258,55318.03,28000.0,27318.03,True,0.0,263,31,0
50,4,4,batch_050,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,4,4,32.0,-1586.32,45365.76,46952.08,368,0.5371,0.3108,1913.68,23301.43,-21387.75,True,0.0,233,83,0
51,10,4,batch_051,Team 10,Community / Club,innovation_leap,Innovation leap,1,4,56.4,10234.92,32345.78,22110.86,203,0.8125,0.304,44846.62,28000.0,16846.620000000003,True,48.86,21,24,68
51,10,4,batch_051,Team 01,Premium Quality,premium_quality,Premium quality,2,1,88.9,7815.48,33173.28,25357.8,174,0.9911,0.1345,47992.03,0.0,47992.03,False,85.84,0,0,94
51,10,4,batch_051,Team 05,Community / Club,cash_conservative,Cash conservative,3,3,62.2,6228.85,22268.64,16039.79,172,0.7118,0.2469,44057.41,0.0,44057.41,False,28.41,56,12,15
51,10,4,batch_051,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,4,2,73.3,5051.6,30084.0,25032.4,181,0.9576,0.1173,45618.13,4000.0,41618.13,False,70.54,0,7,40
51,10,4,batch_051,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,5,8,29.8,4594.14,34311.59,29717.45,199,0.8897,0.6926,11682.33,28000.0,-16317.67,True,39.85,0,23,258
51,10,4,batch_051,Team 07,Sponsorship Growth,premium_quality,Premium quality,6,5,55.6,1597.32,37720.08,36122.76,245,0.9389,0.1887,30675.05,0.0,30675.05,False,71.2,0,15,224
51,10,4,batch_051,Team 08,Engineering Challenger,low_cost_volume,Low-cost volume,7,6,43.1,1289.92,32049.6,30759.68,220,0.9935,0.5673,18980.08,14000.0,4980.080000000002,True,32.48,0,0,20
51,10,4,batch_051,Team 06,Premium Quality,aggressive_growth,Aggressive growth,8,7,32.0,-4203.65,32952.96,37156.61,193,0.9922,0.5749,43884.44,40000.0,3884.4400000000023,True,71.57,0,0,75
51,10,4,batch_051,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,9,9,9.8,-8748.75,37567.2,46315.95,294,0.9794,0.9109,0.0,28187.85,-28187.85,True,0.0,0,5,73
51,10,4,batch_051,Team 09,Low-Cost Volume,balanced_sop,Balanced S&OP,10,10,0.9,-15243.46,22288.0,37531.46,212,0.8864,0.89,0.0,23220.34,-23220.34,True,28.61,0,26,389
52,9,4,batch_052,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,1,3,64.5,10679.3,36670.41,25991.11,144,0.9943,1.3823,17679.3,38586.39,-20907.09,True,45.16,0,0,371
52,9,4,batch_052,Team 05,Community / Club,cash_conservative,Cash conservative,2,1,75.0,3122.19,18180.48,15058.29,138,0.8399,0.4359,36303.39,0.0,36303.39,False,63.72,13,12,272
52,9,4,batch_052,Team 01,Premium Quality,premium_quality,Premium quality,3,2,67.5,-3550.25,19820.16,23370.41,104,0.988,0.7101,12625.24,0.0,12625.24,False,83.23,0,0,333
52,9,4,batch_052,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,4,4,59.5,-5631.17,18061.0,23692.17,109,0.9928,0.8217,11204.5,4000.0,7204.5,True,73.07,0,0,377
